date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:26	57777/57777	---M-Z	200	added ('OK')	text/html	etag:%22e1b1-5d2bffb252ec4-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/index.html	(from )
15:46:26	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Dec%202021%2021:46:25%20GMT	https://aulas-virtuales.cuaieed.unam.mx/robots.txt		(from )
15:46:27	22176/22176	---M--	200	added ('OK')	image/png	etag:%2256a0-5a1949316c3c2%22	https://aulas-virtuales.cuaieed.unam.mx/img/logos/logo_AV.png	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/logos/logo_AV.png	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Dec%202021%2021:46:27%20GMT	https://open.thumbshots.org/image.aspx?url=img/logos/logo_AV.png	C:/My%20Web%20Sites/AulaVirtual/open.thumbshots.org/image.19ba7.delayed	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:28	35595/35595	---M-Z	200	added ('OK')	text/css	etag:%228b0b-5a12a0ba448be-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/css/estilos.css	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/css/estilos.css	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:28	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/AulaVirtual/www.google-analytics.com/analytics.js	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:28	2371/2371	---M-Z	200	added ('OK')	text/css	etag:%22943-59ef514dcb4b9-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/css/style_2.css	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/css/style_2.css	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:28	17055/17055	---M-Z	200	added ('OK')	text/css	etag:%22429f-5aa2f67ab81ee-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/css/style.css	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/css/style.css	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:29	10188/10188	---M-Z	200	added ('OK')	text/css	etag:%2227cc-59d600919022b-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/style.css	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/style.css	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:30	773/773	---M-Z	200	added ('OK')	text/css	etag:%225eb03f23-305%22	https://cdnjs.cloudflare.com/ajax/libs/meyer-reset/2.0/reset.min.css	C:/My%20Web%20Sites/AulaVirtual/cdnjs.cloudflare.com/ajax/libs/meyer-reset/2.0/reset.min.css	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:30	109518/109518	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:57%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.2.0/css/bootstrap.min.css	C:/My%20Web%20Sites/AulaVirtual/maxcdn.bootstrapcdn.com/bootstrap/3.2.0/css/bootstrap.min.css	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:30	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%226197d4dc-c854%22	https://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	C:/My%20Web%20Sites/AulaVirtual/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:31	2199/2199	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2b-897%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	C:/My%20Web%20Sites/AulaVirtual/cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:31	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/AulaVirtual/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:32	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/My%20Web%20Sites/AulaVirtual/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:32	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/AulaVirtual/unpkg.com/aos@2.3.1/dist/aos.css	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:35	161841/161841	---M--	200	added ('OK')	image/svg+xml	etag:%2227831-59d6008553277%22	https://aulas-virtuales.cuaieed.unam.mx/img/logos/logo_unam.svg	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/logos/logo_unam.svg	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:35	57777/57777	---M-Z	200	added ('OK')	text/html	etag:%22e1b1-5d2bffb252ec4-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/index.html	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/index-2.html	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:35	10391/10391	---M--	200	added ('OK')	image/svg+xml	etag:%222897-59d600853abd2%22	https://aulas-virtuales.cuaieed.unam.mx/img/logos/logo_AV.svg	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/logos/logo_AV.svg	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:35	19036/19036	---M--	200	added ('OK')	image/svg+xml	etag:%224a5c-5a8d6859038c1%22	https://aulas-virtuales.cuaieed.unam.mx/img/logos/logo_cuaed.svg	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/logos/logo_cuaed.svg	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:35	5260/5260	---M--	200	added ('OK')	image/svg+xml	etag:%22148c-5a12a021c70fb%22	https://aulas-virtuales.cuaieed.unam.mx/img/logos/logo_AV_ac.svg	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/logos/logo_AV_ac.svg	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:36	48727/48727	---M-Z	200	added ('OK')	text/html	etag:%22be57-5cf6bc003239f-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/alumnos.html	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/alumnos.html	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:36	64109/64109	---M-Z	200	added ('OK')	text/html	etag:%22fa6d-5d2bff42f1ee3-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/docentes.html	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/docentes.html	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:36	20561/20561	---M--	200	added ('OK')	image/svg+xml	etag:%225051-5a1049cc86e71%22	https://aulas-virtuales.cuaieed.unam.mx/img/logos/logo_AV_ac2_2.svg	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/logos/logo_AV_ac2_2.svg	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:37	4718/4718	---M--	200	added ('OK')	image/svg+xml	etag:%22126e-59dfee4ffe324%22	https://aulas-virtuales.cuaieed.unam.mx/img/btnalum.svg	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/btnalum.svg	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:37	4666/4666	---M--	200	added ('OK')	image/svg+xml	etag:%22123a-59dfee5003145%22	https://aulas-virtuales.cuaieed.unam.mx/img/btndoc.svg	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/btndoc.svg	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:37	85819/85819	---M--	200	added ('OK')	image/png	etag:%2214f3b-59d600825a5f0%22	https://aulas-virtuales.cuaieed.unam.mx/img/moodle.png	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/moodle.png	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:37	44734/44734	---M--	200	added ('OK')	image/png	etag:%22aebe-59d600813b3f0%22	https://aulas-virtuales.cuaieed.unam.mx/img/zoom.png	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/zoom.png	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:38	3406/3406	---M--	200	added ('OK')	image/svg+xml	etag:%22d4e-5a7e7142864b7%22	https://aulas-virtuales.cuaieed.unam.mx/img/webex.svg	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/webex.svg	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:38	710288/710288	---M--	200	added ('OK')	application/pdf	etag:%22ad690-5bd1eb480c9e6%22	https://aulas-virtuales.cuaieed.unam.mx/manuales/renovar_licencias_zoom.pdf	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/manuales/renovar_licencias_zoom.pdf	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:39	262/262	---M--	200	added ('OK')	text/csv	etag:%22106-5cacfb011a24f%22	https://aulas-virtuales.cuaieed.unam.mx/manuales/subir_usuarios.csv	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/manuales/subir_usuarios.csv	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:40	31977/31977	---M--	200	added ('OK')	image/png	etag:%227ce9-5ba9c03e6fed4%22	https://aulas-virtuales.cuaieed.unam.mx/img/iconos_videos/capacitacion.png	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/iconos_videos/capacitacion.png	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:40	35116/35116	---M--	200	added ('OK')	image/png	etag:%22892c-5ba9c03ebd14d%22	https://aulas-virtuales.cuaieed.unam.mx/img/iconos_videos/ingreso.png	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/iconos_videos/ingreso.png	(from https://aulas-virtuales.cuaieed.unam.mx/)
15:46:41	11365991/11365991	---M--	200	added ('OK')	application/pdf	etag:%22ad6e67-5a1c2a4465331%22	https://aulas-virtuales.cuaieed.unam.mx/manuales/manual_moodle.pdf	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/manuales/manual_moodle.pdf	(from https://aulas-virtuales.cuaieed.unam.mx/)
